产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品url
Nike Swoosh,AC2285-101,￥59,￥0,白色/黑/黑,['均码'],"['弹力舒适', '其他细节', '柔软的混纺棉料有效减少汗液干扰视线', '弹性面料舒适贴合', '产品细节', '面料：70% 棉/19% 锦纶/7% 聚酯纤维/4% 二烯类弹性纤维', '可机洗', '显示颜色： 白色/黑/黑', '款式： AC2285-101']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/dnfjd2kpy5lgubufjkfi/swoosh-头带（1-条）-bkTvvrn4.jpg'],头带（1 条）,11,womens,2,https://www.nike.com/cn/t/swoosh-%E5%A4%B4%E5%B8%A6%EF%BC%881-%E6%9D%A1%EF%BC%89-bkTvvrn4/AC2285-101

Nike Swoosh,AC2285-010,￥49,￥59,黑/白色/白,['均码'],"['弹力舒适', '其他细节', '柔软的混纺棉料有效减少汗液干扰视线', '弹性面料舒适贴合', '产品细节', '面料：70% 棉/19% 锦纶/7% 聚酯纤维/4% 二烯类弹性纤维', '可机洗', '显示颜色： 黑/白色/白色', '款式： AC2285-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/uv8dz5ivs6xmwrvckj2c/swoosh-头带（1-条）-bkTvvrn4.jpg'],头带（1 条）,11,womens,2,https://www.nike.com/cn/t/swoosh-%E5%A4%B4%E5%B8%A6%EF%BC%881-%E6%9D%A1%EF%BC%89-bkTvvrn4/AC2285-010

Jordan Jumpman,AC4093-010,￥119,￥0,黑/白,['均码'],"['弹力舒适', '产品细节', '面料：96% 锦纶/4% 二烯类弹性纤维', '可机洗', '显示颜色： 黑/白色', '款式： AC4093-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/pp8vwnkyj7m77jafwus7/jordan-jumpman-头带（1-条）-pvTjMRB8.jpg'],头带（1 条）,8,mens,1,https://www.nike.com/cn/t/jordan-jumpman-%E5%A4%B4%E5%B8%A6%EF%BC%881-%E6%9D%A1%EF%BC%89-pvTjMRB8/AC4093-010

Jordan Jumpman,AC4093-101,￥119,￥0,白色/黑,['均码'],"['弹力舒适', '产品细节', '面料：96% 锦纶/4% 二烯类弹性纤维', '可机洗', '显示颜色： 白色/黑', '款式： AC4093-101']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/rdh9gcrma90hocvwc3za/jordan-jumpman-头带（1-条）-pvTjMRB8.jpg'],头带（1 条）,8,mens,1,https://www.nike.com/cn/t/jordan-jumpman-%E5%A4%B4%E5%B8%A6%EF%BC%881-%E6%9D%A1%EF%BC%89-pvTjMRB8/AC4093-101

Nike ACG,AV4775-010,￥199,￥0,黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 黑', '款式： AV4775-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ikmziflasuimeu3k4lfk/acg-针织帽-nNWB5x.jpg'],针织帽,2,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-010

NikeCourt AeroBill,899656-010,￥129,￥0,黑/黑/黑/白,['均码'],"['轻盈包覆', '其他细节', 'AeroBill 技术，营造轻盈透气感受', '网眼拼接设计，有效提升透气性', '黑色下帽檐设计减少炫光', '单手快速调节型扣带设计，打造定制般贴合感', '产品细节', '面料：100% 聚酯纤维。后拼接：100% 聚酯纤维。里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 黑/黑/黑/白色', '款式： 899656-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/vieepu86kusbbjqpnqpm/nikecourt-aerobill-女子网球遮阳帽-FKjm4s.jpg'],女子网球遮阳帽,15,womens,2,https://www.nike.com/cn/t/nikecourt-aerobill-%E5%A5%B3%E5%AD%90%E7%BD%91%E7%90%83%E9%81%AE%E9%98%B3%E5%B8%BD-FKjm4s/899656-010

NikeCourt AeroBill,899656-100,￥129,￥0,白色/白色/黑/黑,['均码'],"['轻盈包覆', '其他细节', 'AeroBill 技术，营造轻盈透气感受', '网眼拼接设计，有效提升透气性', '黑色下帽檐设计减少炫光', '单手快速调节型扣带设计，打造定制般贴合感', '产品细节', '面料：100% 聚酯纤维。后拼接：100% 聚酯纤维。里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 白色/白色/黑/黑', '款式： 899656-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ucdvezeprzdwrfpifqbb/nikecourt-aerobill-女子网球遮阳帽-FKjm4s.jpg'],女子网球遮阳帽,15,womens,2,https://www.nike.com/cn/t/nikecourt-aerobill-%E5%A5%B3%E5%AD%90%E7%BD%91%E7%90%83%E9%81%AE%E9%98%B3%E5%B8%BD-FKjm4s/899656-100

Nike ACG,AV4775-416,￥199,￥0,赛车蓝/灯草粉,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 赛车蓝/灯草粉', '款式： AV4775-416']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/mflobeul6snurfexieyn/acg-针织帽-nNWB5x.jpg'],针织帽,2,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-416

Nike ACG,AV4775-741,￥199,￥0,阿马里洛黄/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 阿马里洛黄/黑', '款式： AV4775-741']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/flt5pmowkmuokwthgqqu/acg-针织帽-nNWB5x.jpg'],针织帽,2,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-741

Nike Classic99,AJ5499-100,￥169,￥0,白色/煤黑/黑,['均码'],"['经典舒适，为球场而生', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', '刺绣眼孔营造出色的空气流通效果', '纹理面料融入氨纶，可自如伸展，缔造专属贴合感', '汗带设计，柔软导湿', '产品细节', '魔术贴粘扣', '面料：90% 聚酯纤维/10% 氨纶。前片拼接（背面）：100% 聚酯纤维。\xa0 \xa0', '手洗', '显示颜色： 白色/煤黑/黑', '款式： AJ5499-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/z2t9xpxtwkodyoursntd/classic99-高尔夫运动帽-Ct0jRB.jpg'],高尔夫运动帽,20,mens,1,https://www.nike.com/cn/t/classic99-%E9%AB%98%E5%B0%94%E5%A4%AB%E8%BF%90%E5%8A%A8%E5%B8%BD-Ct0jRB/AJ5499-100

Nike Classic99,AJ5499-010,￥169,￥0,黑/煤黑/白,['均码'],"['经典舒适，为球场而生', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', '刺绣眼孔营造出色的空气流通效果', '纹理面料融入氨纶，可自如伸展，缔造专属贴合感', '汗带设计，柔软导湿', '产品细节', '魔术贴粘扣', '面料：90% 聚酯纤维/10% 氨纶。前片拼接（背面）：100% 聚酯纤维。\xa0 \xa0', '手洗', '显示颜色： 黑/煤黑/白色', '款式： AJ5499-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/phhrilvndkbb1ti1f4yi/classic99-高尔夫运动帽-Ct0jRB.jpg'],高尔夫运动帽,20,mens,1,https://www.nike.com/cn/t/classic99-%E9%AB%98%E5%B0%94%E5%A4%AB%E8%BF%90%E5%8A%A8%E5%B8%BD-Ct0jRB/AJ5499-010

NikeCourt Featherlight,679421-100,￥159,￥0,白色/黑/白色/黑,['均码'],"['透气舒适，激战制霸', '其他细节', 'Dri-FIT 面料助你保持干爽舒适', '网眼布拼接与打孔式衬里拼接相结合，塑就出色透气性', '黑色下帽檐设计减少炫光', '背面魔术贴粘扣搭配反光提拉设计，可定制专属贴合感与出色的视觉可见度', '产品细节', '面料/里料：100% 聚酯纤维', '手洗', '显示颜色： 白色/黑/白色/黑', '款式： 679421-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/c1distcx60p7ehawjube/nikecourt-featherlight-可调节网球运动帽-h6mMZR.jpg'],可调节网球运动帽,13,womens,2,https://www.nike.com/cn/t/nikecourt-featherlight-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-h6mMZR/679421-100

NikeCourt Featherlight,679421-010,￥159,￥0,黑/黑/黑/白,['均码'],"['透气舒适，激战制霸', '其他细节', 'Dri-FIT 面料助你保持干爽舒适', '网眼布拼接与打孔式衬里拼接相结合，塑就出色透气性', '黑色下帽檐设计减少炫光', '背面魔术贴粘扣搭配反光提拉设计，可定制专属贴合感与出色的视觉可见度', '产品细节', '面料：100% 聚酯纤维。里料：100% 聚酯纤维。', '手洗', '显示颜色： 黑/黑/黑/白色', '款式： 679421-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/z3bz9inia0pblinptyuw/nikecourt-featherlight-可调节网球运动帽-h6mMZR.jpg'],可调节网球运动帽,13,womens,2,https://www.nike.com/cn/t/nikecourt-featherlight-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-h6mMZR/679421-010

Nike ACG,AV4775-011,￥199,￥0,黑/黑/黑/黑,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 黑/黑/黑/黑', '款式： AV4775-011']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/baitzbze1b2vd8bdlzsx/acg-针织帽-nNWB5x.jpg'],针织帽,2,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-011

NikeLab H86,BV3032-451,￥229,￥0,黑曜石色/白,['均码'],"['经典邂逅灯芯绒', '其他细节', '正面绣有\xa0“Just Do It.”', '每块拼接均配置孔眼，帮助保持凉爽', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 黑曜石色/白色', '款式： BV3032-451']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/bpodzwibqcu0fvkpecyr/nikelab-h86-jdi-运动帽-vsjg7t.jpg'],JDI 运动帽,24,mens,1,https://www.nike.com/cn/t/nikelab-h86-jdi-%E8%BF%90%E5%8A%A8%E5%B8%BD-vsjg7t/BV3032-451

NikeLab H86,BV3032-010,￥229,￥0,黑/白,['均码'],"['经典邂逅灯芯绒', '其他细节', '正面绣有\xa0“Just Do It.”', '每块拼接均配置孔眼，帮助保持凉爽', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 黑/白色', '款式： BV3032-010']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/go4fwtyqpk88njab10kh/nikelab-h86-jdi-运动帽-vsjg7t.jpg'],JDI 运动帽,24,mens,1,https://www.nike.com/cn/t/nikelab-h86-jdi-%E8%BF%90%E5%8A%A8%E5%B8%BD-vsjg7t/BV3032-010

NikeLab H86,BV3032-100,￥229,￥0,白色/黑,['均码'],"['经典邂逅灯芯绒', '其他细节', '正面绣有\xa0“Just Do It.”', '每块拼接均配置孔眼，帮助保持凉爽', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/黑', '款式： BV3032-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/nh1c6to35tysctxgvtuj/nikelab-h86-jdi-运动帽-vsjg7t.jpg'],JDI 运动帽,24,mens,1,https://www.nike.com/cn/t/nikelab-h86-jdi-%E8%BF%90%E5%8A%A8%E5%B8%BD-vsjg7t/BV3032-100

Nike NRG AW84,882767-011,￥229,￥0,黑/黑,['均码'],"['舒适速干', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', 'AeroBill 科技，缔造轻盈透气表现', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，舒适耐用', '产品细节', '面料：100% 聚酯纤维。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 黑/黑', '款式： 882767-011']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/xg1ywcqgnln8lkay2rft/nrg-aw84-可调节运动帽-j9VY1w.jpg'],可调节运动帽,26,mens,1,https://www.nike.com/cn/t/nrg-aw84-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-j9VY1w/882767-011

Nike NRG AW84,882767-439,￥229,￥0,钴蓝色/黑,['均码'],"['舒适速干', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', 'AeroBill 科技，缔造轻盈透气表现', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，舒适耐用', '产品细节', '面料：100% 聚酯纤维。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 钴蓝色/黑', '款式： 882767-439']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/mrjgvs787lny3tzekwrx/nrg-aw84-可调节运动帽-j9VY1w.jpg'],可调节运动帽,26,mens,1,https://www.nike.com/cn/t/nrg-aw84-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-j9VY1w/882767-439

Nike Sportswear Tailwind ACG Sherpa,AR0497-381,￥229,￥0,晶洞水鸭青/哈瓦那红/黑,['均码'],"['专属舒适', '其他细节', '不易撕裂面料，轻盈耐用', '针织耳部护翼提供出色包覆效果', '可调式背面扣带，定制专属舒适感', '产品细节', '面料：100% 锦纶。下帽檐：100% 聚酯纤维。侧拼接里料：100% 聚酯纤维。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 晶洞水鸭青/哈瓦那红/黑', '款式： AR0497-381']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/c4obgho976fstaypzqyp/sportswear-tailwind-acg-sherpa-可调节运动帽-ZW1kCQ.jpg'],可调节运动帽,25,mens,1,https://www.nike.com/cn/t/sportswear-tailwind-acg-sherpa-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ZW1kCQ/AR0497-381

Nike NRG AW84,882767-100,￥229,￥0,白色/黑,['均码'],"['舒适速干', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', 'AeroBill 科技，缔造轻盈透气表现', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，舒适耐用', '产品细节', '面料：100% 聚酯纤维。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/黑', '款式： 882767-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/qfsdnsadv9uhadwsym2l/nrg-aw84-可调节运动帽-j9VY1w.jpg'],可调节运动帽,26,mens,1,https://www.nike.com/cn/t/nrg-aw84-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-j9VY1w/882767-100

Nike NRG AW84,882767-013,￥229,￥0,黑/黑/白色/黑,['均码'],"['舒适速干', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', 'AeroBill 科技，缔造轻盈透气表现', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，舒适耐用', '产品细节', '面料：100% 聚酯纤维。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 黑/黑/白色/黑', '款式： 882767-013']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/hmbvkbrtj0czzzylaqyp/nrg-aw84-可调节运动帽-j9VY1w.jpg'],可调节运动帽,26,mens,1,https://www.nike.com/cn/t/nrg-aw84-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-j9VY1w/882767-013

Nike NRG AW84,882767-101,￥229,￥0,白色/黑/白色/白,['均码'],"['舒适速干', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', 'AeroBill 科技，缔造轻盈透气表现', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，舒适耐用', '产品细节', '面料：100% 聚酯纤维。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/黑/白色/白色', '款式： 882767-101']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/wyehzsgppc9qugerpqik/nrg-aw84-可调节运动帽-j9VY1w.jpg'],可调节运动帽,26,mens,1,https://www.nike.com/cn/t/nrg-aw84-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-j9VY1w/882767-101

Nike Sportswear Tailwind ACG Sherpa,AR0497-013,￥229,￥0,黑/黑/黑/黑,['均码'],"['专属舒适', '其他细节', '不易撕裂面料，轻盈耐用', '针织耳部护翼提供出色包覆效果', '可调式背面扣带，定制专属舒适感', '产品细节', '面料：100% 锦纶。下帽檐：100% 聚酯纤维。侧拼接里料：100% 聚酯纤维。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 黑/黑/黑/黑', '款式： AR0497-013']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/rpczw7mlccljhxisa3ee/sportswear-tailwind-acg-sherpa-可调节运动帽-ZW1kCQ.jpg'],可调节运动帽,25,mens,1,https://www.nike.com/cn/t/sportswear-tailwind-acg-sherpa-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ZW1kCQ/AR0497-013

Jordan Classic99,AV8439-451,￥199,￥0,黑曜石,['均码'],"['轻盈质感，经典魅力', '其他细节', '透气面料缔造干爽舒适感受，助你保持专注', '梭织聚酯纤维融入氨纶纱线，富有弹性', '背面按扣设计，可自主调节贴合感', '针织汗带，打造柔软舒适的佩戴感受', '正面饰有热转印 Jumpman 标志', '产品细节', '面料：95% 聚酯纤维/5% 氨纶。前片拼接（背面）：100% 聚酯纤维。下帽檐：100% 棉。', '手洗', '显示颜色： 黑曜石色', '款式： AV8439-451']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/b1z8mmirpapvmtdl8zjj/jordan-classic99-snapback-运动帽-ZZqp0X.jpg'],Snapback 运动帽,28,mens,1,https://www.nike.com/cn/t/jordan-classic99-snapback-%E8%BF%90%E5%8A%A8%E5%B8%BD-ZZqp0X/AV8439-451

Jordan Classic99,AV8439-687,￥199,￥0,健身红/黑,['均码'],"['轻盈质感，经典魅力', '其他细节', '透气面料缔造干爽舒适感受，助你保持专注', '梭织聚酯纤维融入氨纶纱线，富有弹性', '背面按扣设计，可自主调节贴合感', '针织汗带，打造柔软舒适的佩戴感受', '正面饰有热转印 Jumpman 标志', '产品细节', '面料：95% 聚酯纤维/5% 氨纶。前片拼接（背面）：100% 聚酯纤维。下帽檐：100% 棉。', '手洗', '显示颜色： 健身红/黑', '款式： AV8439-687']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/hoez40ulgbhfvnv9phl2/jordan-classic99-snapback-运动帽-ZZqp0X.jpg'],Snapback 运动帽,28,mens,1,https://www.nike.com/cn/t/jordan-classic99-snapback-%E8%BF%90%E5%8A%A8%E5%B8%BD-ZZqp0X/AV8439-687

NikeLab Gyakusou,920401-570,￥459,￥0,墨紫,['均码'],"['温暖随行', '有效遮阳', '其他细节', '正面添加反光热转印标志，塑就醒目外观', '面料/里料：76% 聚酯纤维/19% 棉/4% 锦纶/1% 其他纤维', '\n', '手洗', '显示颜色： 墨紫', '款式： 920401-570', '关于 NikeLab Gyakusou 系列']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/mowdxfvlpwjsfjaw5glv/nikelab-gyakusou-男-女针织帽-5RYoxR.jpg'],男/女针织帽,22,mens,1,https://www.nike.com/cn/t/nikelab-gyakusou-%E7%94%B7-%E5%A5%B3%E9%92%88%E7%BB%87%E5%B8%BD-5RYoxR/920401-570

Nike NRG AW84 Spectrum QS,BV3959-547,￥229,￥0,庭紫,['均码'],"['强力速干，出色包覆', '其他细节', '背面可调式扣带打造个性化的贴合感', '五片式拼接设计，耐用舒适', '产品细节', '面料/里料：100% 聚酯纤维。\xa0', '手洗', '显示颜色： 庭紫', '款式： BV3959-547']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ssrctghfsrgsuqu7nppx/nrg-aw84-spectrum-qs-可调节运动帽-G0FLXl.jpg'],可调节运动帽,29,mens,1,https://www.nike.com/cn/t/nrg-aw84-spectrum-qs-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-G0FLXl/BV3959-547

